METAL,BAND,SEX,BANDEDYEAR,BANDEDAGE,BANDEDLOC,DIRREC,AGE_CODE,BANDING_MONTH,BANDING_YEAR,LAT_DECIMAL_DEGREES,LON_DECIMAL_DEGREES,GISRLong,GISRLat,R_Day,R_Month,R_Year,RRegion__STA,RRegion__State
19872235,6T7G,F,2013,L,COL,,,,,,,,,,,,,
19879061,08LG,M,2013,A,COL,,,,,,,,,,,,,
19879606,0A6G,F,2013,A,COL,,,,,,,,,,,,,
19879610,09SG,F,2013,L,COL,,,,,,,,,,,,,
19879611,08GG,F,2013,L,COL,,,,,,,,,,,,,
19879618,085G,M,2013,L,COL,,,,,,,,,,,,,
19879619,070G,M,2013,L,COL,,,,,,,,,,,,,
19879623,08TG,M,2013,A,COL,,,,,,,,,,,,,
19879624,08ZG,F,2013,L,COL,,,,,,,,,,,,,
19879626,09VG,M,2013,L,COL,,,,,,,,,,,,,
19879629,088G,M,2013,A,COL,,,,,,,,,,,,,
19879642,08YG,M,2013,L,COL,,,,,,,,,,,,,
19879647,09AG,M,2013,L,COL,,,,,,,,,,,,,
19879650,097G,F,2013,A,COL,,,,,,,,,,,,,
19879657,07HG,M,2013,A,COL,,,,,,,,,,,,,
19879658,0A7G,M,2013,L,COL,,,,,,,,,,,,,
19879659,093G,M,2013,L,COL,,,,,,,,,,,,,
19879662,09YG,M,2013,L,COL,,,,,,,,,,,,,
19879663,082G,F,2013,L,COL,,,,,,,,,,,,,
19879666,0ARG,F,2013,A,COL,,,,,,,,,,,,,
19879681,07YG,M,2013,A,COL,,,,,,,,,,,,,
19879690,079G,M,2013,L,COL,,,,,,,,,,,,,
19879691,0A1G,M,2013,A,COL,,,,,,,,,,,,,
19879901,071G,M,2013,A,COL,,,,,,,,,,,,,
19879902,083G,F,2013,L,COL,,,,,,,,,,,,,
19879903,0A4G,M,2013,L,COL,,,,,,,,,,,,,
19879906,08AG,M,2013,A,COL,,,,,,,,,,,,,
19879909,08KG,F,2013,A,COL,,,,,,,,,,,,,
19879912,07EG,F,2013,A,COL,,,,,,,,,,,,,
19879913,089G,M,2013,L,COL,,,,,,,,,,,,,
